foods,flavor_ids,compound_ids,pairing_score
"['almond', 'apple']","[148, 105]","['3361,29914,29922,29926', '8743,12617,9068,8786,8789,8790,21436,13957,358,11888,8074,8730,5303,8863,897,8150,19444,12202,13576,14914,15974,10571,8787,865,12376,8879,14633,763,10840,10570,14798,14915']",0
"['almond', 'banana']","[148, 208]","['3361,29914,29922,29926', '29808']",0
"['almond', 'blueberry']","[148, 193]","['3361,29914,29922,29926', '12011,10995,29487,4303']",0
"['almond', 'broccoli']","[148, 34]","['3361,29914,29922,29926', '3256,12155,29841,14493,12156,29876,13795,12449,15484,13797,29896,16242,16241,18012,411,16243,20008,20167,12003,14620,11404,16240,9195,12354,19882,20150,16307,20165,13626,2918,16196,12586,14402,9019,11685,12157,4834,12557,9194,8794,14466,8746,19912,13627,13616,744,16872,5806,20015,8530,16958,19992,412,11797,13726,16849,13417,18001,17561,21469,20009,3369,13427,8321,1358,16331,9483,2988,2289,3304,10562,18444,12418,12408,11523,16860,16831,16847,9783,10404,3308,17586,10419,16749,13625,8189,2288,13623,8188,10418,13725,12841,9272,9556,16230,21436,13425,21562,15571,3281,16856,19937,16244,8272,15483,8754,13624,18011,3140,8263,3430,16232,10566,3254,13796,8551,18448,14949,13071,20168,3010,416,14360,13413']",0
"['almond', 'butter']","[148, 320]","['3361,29914,29922,29926', '21459,8177']",0
"['almond', 'butter']","[148, 667]","['3361,29914,29922,29926', '9128']",0
"['almond', 'butter']","[148, 785]","['3361,29914,29922,29926', '14664,8282,8106,8493,16313,11933,8561,1325,12443,925,3361,11217,18954,13881,16317,753']",1
"['almond', 'carrot']","[148, 245]","['3361,29914,29922,29926', '8788,9287,3877,11675,15612,14657,16243,8392,9571,11131,8237,3194,15085,2293,14979,8549,19889,14721,8783,17243,12021,12418,16144,5303,8782,17037,14377,16057,17264,1462,29934,14917,16327,15042,8087,12414,1015,12299']",0
"['almond', 'cheese']","[148, 631]","['3361,29914,29922,29926', '16409,15030']",0
"['almond', 'cucumber']","[148, 65]","['3361,29914,29922,29926', '8132,29897,19942,8298,16953,3246,12086']",0
"['almond', 'egg']","[148, 633]","['3361,29914,29922,29926', '12458,2296,9194,897,16336,19539,16240,10841,16230,14948,856,14898,13796,9851,16833,16830']",0
"['almond', 'garlic']","[148, 8]","['3361,29914,29922,29926', '14922,29871,3844,14602,15995,16750,14731,8493,8065,965,13720']",0
